lsoa_int_zone_id,msoa_zone_id,lsoa_int_to_msoa,msoa_to_lsoa_int
E01028917,E02006025,1,0.055343828
E01028906,E02006025,1,0.502402651
E01028916,E02006025,1,0.008450704
E01028924,E02006025,1,0.295940348
E01028908,E02006025,1,0.008285004
E01028907,E02006025,1,0.129577465
E01014006,E02002911,1,0.106218487
E01014100,E02002911,1,0.118991597
E01014016,E02002911,1,0.164033613
E01014012,E02002911,1,0.177815126
E01014013,E02002911,1,0.304537815
E01014101,E02002911,1,0.128403361
E01014087,E02002914,1,0.032689283
E01014088,E02002914,1,0.003594698
E01014089,E02002914,1,0.087845428
E01014085,E02002914,1,0.004718041
E01014084,E02002914,1,0.84351831
E01014083,E02002914,1,0.027634239
E01014077,E02002917,1,0.024793388
E01014075,E02002917,1,0.685950413
E01014078,E02002917,1,0.082644628
E01014076,E02002917,1,0.20661157
E01014079,E02002920,1,0.599286564
E01014080,E02002920,1,0.112960761
E01013997,E02002920,1,0.029726516
E01013996,E02002920,1,0.258026159
E01013990,E02002922,1,0.322531646
E01013991,E02002922,1,0.101772152
E01014014,E02002922,1,0.340253165
E01014054,E02002922,1,0.235443038
E01014050,E02002927,1,0.066865895
E01014031,E02002927,1,0.182480388
E01014058,E02002927,1,0.032499066
E01014049,E02002927,1,0.085543519
E01014032,E02002927,1,0.357116175
E01014053,E02002927,1,0.140268958
E01014057,E02002927,1,0.135225999
E01014082,E02002912,1,0.265767553
E01014023,E02002912,1,0.453391511
E01014022,E02002912,1,0.229670766
E01014081,E02002912,1,0.051170171
E01014060,E02002925,1,0.026142132
E01014099,E02002925,1,0.103172589
E01014069,E02002925,1,0.006852792
E01014098,E02002925,1,0.11928934
E01014026,E02002925,1,0.604314721
E01014059,E02002925,1,0.140228426
E01014048,E02002907,1,0.427927928
E01014046,E02002907,1,0.135722679
E01014045,E02002907,1,0.37230709
E01014047,E02002907,1,0.064042303
E01014091,E02002918,1,0.128205128
E01014094,E02002918,1,0.093514329
E01014090,E02002918,1,0.702865762
E01014093,E02002918,1,0.075414781
E01014073,E02002919,1,0.043933054
E01014074,E02002919,1,0.549686192
E01014070,E02002919,1,0.131276151
E01014072,E02002919,1,0.256799163
E01014068,E02002919,1,0.018305439
E01029001,E02006046,1,0.189696486
E01029002,E02006046,1,0.144968051
E01028995,E02006046,1,0.317092652
E01029000,E02006046,1,0.096645367
E01028999,E02006046,1,0.073083067
E01028996,E02006046,1,0.178514377
E01013995,E02002921,1,0.107142857
E01013992,E02002921,1,0.05952381
E01013994,E02002921,1,0.134920635
E01014071,E02002921,1,0.599206349
E01013993,E02002921,1,0.099206349
E01014051,E02002905,1,0.229386237
E01014052,E02002905,1,0.371977681
E01014096,E02002905,1,0.17916925
E01013998,E02002905,1,0.219466832
E01014025,E02002908,1,0.124966042
E01014024,E02002908,1,0.155120891
E01014055,E02002908,1,0.252377071
E01014097,E02002908,1,0.107851127
E01014017,E02002908,1,0.137462646
E01013999,E02002908,1,0.222222222
E01014043,E02002906,1,0.08266129
E01014041,E02002906,1,0.195564516
E01014044,E02002906,1,0.0625
E01014042,E02002906,1,0.659274194
E01029014,E02006043,1,0.153473903
E01029004,E02006043,1,0.27583823
E01029013,E02006043,1,0.314206706
E01029015,E02006043,1,0.121327342
E01028993,E02006043,1,0.13515382
E01013989,E02002916,1,0.004475422
E01014086,E02002916,1,0.020763023
E01014092,E02002916,1,0.029273661
E01013986,E02002916,1,0.00785033
E01014010,E02002916,1,0.876522377
E01014011,E02002916,1,0.061115187
E01029007,E02006045,1,0.023609885
E01029009,E02006045,1,0.009488085
E01029012,E02006045,1,0.166151809
E01029011,E02006045,1,0.229699912
E01029010,E02006045,1,0.024713151
E01033527,E02006045,1,0.232568402
E01033526,E02006045,1,0.274051192
E01029006,E02006045,1,0.039717564
E01014064,E02002926,1,0.037965352
E01014066,E02002926,1,0.175635827
E01014065,E02002926,1,0.017508293
E01014063,E02002926,1,0.010873572
E01014067,E02002926,1,0.007003317
E01014062,E02002926,1,0.28050129
E01014061,E02002926,1,0.470512348
E01014007,E02002915,1,0.136220472
E01013988,E02002915,1,0.524409449
E01014095,E02002915,1,0.011811024
E01013987,E02002915,1,0.327559055
E01009803,E02002035,1,0.090588235
E01009802,E02002035,1,0.083529412
E01009800,E02002035,1,0.036470588
E01009804,E02002035,1,0.789411765
E01032383,E02006757,1,0.361202186
E01032410,E02006757,1,0.137704918
E01032411,E02006757,1,0.345901639
E01032382,E02006757,1,0.1
E01032375,E02006757,1,0.055191257
E01032131,E02006708,1,0.040312629
E01032130,E02006708,1,0.923488276
E01032174,E02006708,1,0.018510901
E01032132,E02006708,1,0.017688194
E01009848,E02002037,1,0.22459893
E01009849,E02002037,1,0.128342246
E01009851,E02002037,1,0.443850267
E01009847,E02002037,1,0.203208556
E01009169,E02001955,1,0.021405751
E01009163,E02001955,1,0.693610224
E01009165,E02001955,1,0.103833866
E01009158,E02001955,1,0.18115016
E01009853,E02002041,1,0.060532688
E01009855,E02002041,1,0.518159806
E01009832,E02002041,1,0.210653753
E01009860,E02002041,1,0.210653753
E01032125,E02006704,1,0.020762627
E01032123,E02006704,1,0.677979637
E01032124,E02006704,1,0.048113396
E01032122,E02006704,1,0.25314434
E01009253,E02001906,1,0.521159875
E01009251,E02001906,1,0.061128527
E01009250,E02001906,1,0.231974922
E01009257,E02001906,1,0.082288401
E01009249,E02001906,1,0.05799373
E01009255,E02001906,1,0.045454545
E01009376,E02001910,1,0.757443082
E01009374,E02001910,1,0.089316988
E01033648,E02001910,1,0.128721541
E01009366,E02001910,1,0.024518389
